   19.0000000       69.6750488       75.9945755    
   19.1000004       87.6245117       91.9722672    
   19.2000008       105.757080       105.710617    
   19.2999992       124.072266       122.775047    
   19.3999996       142.571045       131.669281    
   19.5000000       161.252930       150.697357    
   19.6000004       180.117920       179.323181    
   19.7000008       199.166260       203.235291    
   19.7999992       218.397217       227.224686    
   19.8999996       237.811523       249.438705    
   20.0000000       257.409424       281.421906    
